16235,"COMMUNITY HEALTH UNIT,RIKHIYA_MUGU",5,SIB3rC9Rs4I,6,
16236,"COMMUNITY HEALTH UNIT,ROWA_MUGU",5,UfAVtgwoW2N,6,
16247,COMMUNITY HEALTH UNIT_DANDAGAU MYGDI,5,O1zX1O5YOpL,6,
16250,URBAN HEALTH CENTER_DADUWA MYGDI,5,yUspnNkRFCb,6,
16270,"GERUWANI URBAN HEALTH CENTER,CHHINCHU_SURKHET",5,LbtArwWTKWt,6,
16251,AMDA NEPAL_MAHOTTARI,5,RdVl0j63eJL,6,
16240,AALIMA DIAGNOSTIC CENTRE PVT. LTD._LALITPUR,5,iDqOwCpstlx,6,
16238,GOLDEN GATE POLYCLINIC_LALITPUR,5,LHLuo51fINb,6,
16237,"COMMUNITY HEALTH UNIT,SHREEKOT_MUGU",5,oxoZDzDEnLs,6,
16245,COMMUNITY HEALTH UNIT_GALESHOWAR_MYGDI,5,Nkf8mVAE0yh,6,
16268,JAGATEAAP URBAN HEALTH UNIT GEJHA_PALPA,5,ENEMrdJwLXV,6,
16234,"COMMUNITY HEALTH UNIT,TALCHA_MUGU",5,Zlf5rPYj0cD,6,
16249,URBAN HEALTH CENTER_SETODHUNGA MYGDI,5,AFKumjfbXOw,6,
16252,AMDA NEPAL_MORANG,5,aXk8WjZXSsu,6,
16244,SAJAN DENTAL CLINIC_SINDHULI,5,YiRIG7egX1C,6,
12596,5_UHC_KATHMANDU_KATHMANDU,5_UHC_KATHMANDU_KATHMANDU,WObp3VDMCSd,6,
12597,6_UHC_KATHMANDU_KATHMANDU,6_UHC_KATHMANDU_KATHMANDU,kbJSGI2EMDK,6,
12598,7_UHC_KATHMANDU_KATHMANDU,7_UHC_KATHMANDU_KATHMANDU,AKxXdla1dnK,6,
12599,8_UHC_KATHMANDU_KATHMANDU,8_UHC_KATHMANDU_KATHMANDU,aYW2I12JC04,6,
12600,A CLINIC FOR HELP NEPAL_KATHMANDU,A CLINIC FOR HELP NEPAL,W9fQZPFlVd2,6,
12601,A QUALITY HEALTH CARE & DIAGNISTIC CENTER PVTLTD _KATHMANDU,A QUALITY HEALTH CARE & DIAGNISTIC CENTER PVTLTD ,FADVoHgROwc,6,
,Aabhash Dental Care_Kathmandu,Aabhash Dental Care_Kathmandu,iamtq80bjXR,6,
12602,AADHARBHUT PARSUTI HOSPITAL_KATHMANDU,AADHARBHUT PARSUTI HOSPITAL,TVkEIRghIxr,6,
,"Aadhya, Lalitpur","Aadhya, Lalitpur",xHukgW3FliO,6,
11982,AAGLUNG HP_GULMI,AAGLUNG HP,pPoGIbYViJe,6,"[83.03344,28.216949]"
,Aakash Ganga Polyclinic Pvt.Ltd. Siraha,Aakash Ganga Polyclinic Pvt.Ltd. Siraha,SElpwHzzqJ9,6,
12603,AALAPOT HP_KATHMANDU,AALAPOT HP,ADUKgJ5V7Xd,6,"[85.429359,27.74884]"
,Aalimah Diagnostic Center_Kathmandu,Aalimah Diagnostic Center_Kathmandu,aFKLSG1EvCB,6,
,Aalimati Diagnostic Center_Kathmandu,Aalimati Diagnostic Center_Kathmandu,U4aPZqKgZ1r,6,
14639,AAMA HP_RUPANDEHI,AAMA HP,P9teq5ZuZcx,6,"[83.265091,27.4217]"
11897,AAMA-BAA HOSPITAL & RESEARCH CENTRE_GORKHA,AAMA-BAA HOSPITAL & RESEARCH CENTRE,gmBJR1hf8kI,6,"[84.625381,27.9988]"
11898,AAMPIPAL HP_GORKHA,AAMPIPAL HP,lOHb8ZN4JZd,6,"[84.546722,28.065611]"
11182,AAMTEK HP_BHOJPUR,AAMTEK HP_BHOJPUR,Hc4iAfz2tFK,6,"[87.080521,27.15267]"
,"Aamthang Primary THC, Kalyanpur-2, Nuwakot","Aamthang Primary THC, Kalyanpur-2, Nuwakot",yuyrttLZQ60,6,
14640,AANANDABAN HP_RUPANDEHI,AANANDABAN HP,kz7T35YUqOZ,6,"[83.445396,27.62254]"
14102,AANGNA HP_PANCHTHAR,AANGNA HP,xGxx39wdTCZ,6,"[87.5895,27.01605]"
14103,AANGSARANG HP_PANCHTHAR,AANGSARANG HP,lJzOYaOVRSP,6,"[87.678261,27.059509]"
11899,AANPPIPAL HOSPITAL_GORKHA,AANPPIPAL HOSPITAL,ovO6vDVvmrX,6,"[84.529503,28.069839]"
15708,AAPTAR HP_UDAYAPUR,AAPTAR HP,qd1JSF6ARSF,6,"[86.730202,26.967279]"
13342,AAROGYA HEALTH HOME_LALITPUR,AAROGYA HEALTH HOME,zFO7QIc067O,6,
11900,AARUARBANG HP_GORKHA,AARUARBANG HP,V5W4CWTUliQ,6,"[84.80542,28.092039]"
14104,AARUBOTE HP_PANCHTHAR,AARUBOTE HP,XSftsDbRXeh,6,"[87.63752,26.92058]"
11901,AARUCHANAUTE PHC_GORKHA,AARUCHANAUTE PHC,yHqhMWMKJbY,6,"[84.81115,28.045897]"
2648,AARUCHANUATE,AARUCHANUATE,QUWxQ7RB2oF,5,"[[[[84.7957,28.0703],[84.7973,28.0726],[84.7968,28.0771],[84.7987,28.0846],[84.8052,28.0863],[84.8147,28.0843],[84.8187,28.0807],[84.8224,28.0804],[84.8279,28.0767],[84.8306,28.0765],[84.8265,28.0664],[84.8246,28.0643],[84.8231,28.0627],[84.8232,28.0589],[84.8233,28.0571],[84.8206,28.0525],[84.8206,28.0474],[84.8152,28.0437],[84.8125,28.0391],[84.8104,28.0438],[84.8109,28.0483],[84.8122,28.0499],[84.812,28.058],[84.8118,28.0589],[84.8104,28.0648],[84.8044,28.069],[84.7957,28.0703]]]]"
2649,AARUPOKHARI,AARUPOKHARI,TLMymvRQChT,5,"[[[[84.7439,28.052],[84.745,28.056],[84.7467,28.0589],[84.7469,28.0592],[84.7475,28.0637],[84.75,28.0667],[84.7509,28.0722],[84.7547,28.0744],[84.756,28.0786],[84.7538,28.08],[84.7561,28.0831],[84.7557,28.0846],[84.7555,28.0909],[84.7579,28.0939],[84.7614,28.0955],[84.7656,28.092],[84.7688,28.0917],[84.7688,28.0862],[84.771,28.0833],[84.7799,28.0786],[84.7829,28.074],[84.7875,28.0704],[84.7917,28.0689],[84.7957,28.0703],[84.8044,28.069],[84.8104,28.0648],[84.8118,28.0589],[84.812,28.058],[84.8122,28.0499],[84.8109,28.0483],[84.8104,28.0438],[84.8072,28.0451],[84.8032,28.0447],[84.8022,28.0429],[84.797,28.0437],[84.7898,28.0421],[84.7874,28.0437],[84.7855,28.0432],[84.7778,28.0454],[84.7752,28.0434],[84.7696,28.0426],[84.7625,28.0443],[84.7596,28.0429],[84.7527,28.0452],[84.7506,28.0447],[84.7439,28.052]]]]"
11902,AARUPOKHARI HP_GORKHA,AARUPOKHARI HP,gLm5HVJu6U5,6,"[84.779388,28.05584]"
